id,color,outline,name,style_url,coordinates,name2,value,radius,coordinates5,coordinates6,created_at,updated_at,type,address,street,city,state,country,coords,contact_person,contact_phone,contact_email,operating_hours,capacity,notes,facilities
1,null,null,EPS - JHB Trailer Yard,#Style633940,"28.141508,-26.232723,0 28.140979,-26.232172,0 28.140636,-26.231746,0 28.140615,-26.231675,0 28.14097,-26.231331,0 28.141346,-26.231083,0 28.141785,-26.230798,0 28.142016,-26.230602,0 28.142112,-26.23057,0 28.142162,-26.230532,0 28.142267,-26.230497,0 28.142223,-26.230407,0 28.142179,-26.230316,0 28.14254,-26.23003,0 28.142708,-26.229928,0 28.142893,-26.229935,0 28.144242,-26.229759,0 28.1446,-26.229807,0 28.144409,-26.230104,0 28.143321,-26.23106,0",Comment1,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
2,null,null,EPS - JHB Trailer Yard,#Style633940,"28.141508,-26.232723,0 28.140979,-26.232172,0 28.140636,-26.231746,0 28.140615,-26.231675,0 28.14097,-26.231331,0 28.141346,-26.231083,0 28.141785,-26.230798,0 28.142016,-26.230602,0 28.142112,-26.23057,0 28.142162,-26.230532,0 28.142267,-26.230497,0 28.142223,-26.230407,0 28.142179,-26.230316,0 28.14254,-26.23003,0 28.142708,-26.229928,0 28.142893,-26.229935,0 28.144242,-26.229759,0 28.1446,-26.229807,0 28.144409,-26.230104,0 28.143321,-26.23106,0",Comment2,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
3,null,null,EPS - JHB Trailer Yard,#Style633940,"28.141508,-26.232723,0 28.140979,-26.232172,0 28.140636,-26.231746,0 28.140615,-26.231675,0 28.14097,-26.231331,0 28.141346,-26.231083,0 28.141785,-26.230798,0 28.142016,-26.230602,0 28.142112,-26.23057,0 28.142162,-26.230532,0 28.142267,-26.230497,0 28.142223,-26.230407,0 28.142179,-26.230316,0 28.14254,-26.23003,0 28.142708,-26.229928,0 28.142893,-26.229935,0 28.144242,-26.229759,0 28.1446,-26.229807,0 28.144409,-26.230104,0 28.143321,-26.23106,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
4,null,null,EPS - RDC148,#Style633941,"28.134127,-26.236602,0 28.133822,-26.236499,0 28.13367,-26.236256,0 28.133604,-26.236127,0 28.133427,-26.236065,0 28.133197,-26.235973,0 28.133017,-26.23587,0 28.132889,-26.235781,0 28.132837,-26.235566,0 28.132912,-26.234837,0 28.133051,-26.234378,0 28.133138,-26.233998,0 28.133805,-26.234196,0 28.135374,-26.233148,0 28.13745,-26.231438,0 28.138982,-26.233011,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
5,null,null,EPS - RDC140,#Style633942,"31.004444,-29.78329,0 31.004438,-29.782531,0 31.00469,-29.781624,0 31.004685,-29.780967,0 31.005152,-29.78099,0 31.005533,-29.780919,0 31.005928,-29.780824,0 31.006667,-29.780935,0 31.007083,-29.781351,0 31.007199,-29.781729,0 31.007174,-29.782084,0 31.007096,-29.782882,0 31.007339,-29.783494,0 31.0067,-29.784184,0 31.00414,-29.784847,0 31.003897,-29.784271,0 31.004004,-29.783776,0",Comment1,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
6,null,null,EPS - RDC140,#Style633942,"31.004444,-29.78329,0 31.004438,-29.782531,0 31.00469,-29.781624,0 31.004685,-29.780967,0 31.005152,-29.78099,0 31.005533,-29.780919,0 31.005928,-29.780824,0 31.006667,-29.780935,0 31.007083,-29.781351,0 31.007199,-29.781729,0 31.007174,-29.782084,0 31.007096,-29.782882,0 31.007339,-29.783494,0 31.0067,-29.784184,0 31.00414,-29.784847,0 31.003897,-29.784271,0 31.004004,-29.783776,0",Comment2,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
7,null,null,EPS - RDC140,#Style633942,"31.004444,-29.78329,0 31.004438,-29.782531,0 31.00469,-29.781624,0 31.004685,-29.780967,0 31.005152,-29.78099,0 31.005533,-29.780919,0 31.005928,-29.780824,0 31.006667,-29.780935,0 31.007083,-29.781351,0 31.007199,-29.781729,0 31.007174,-29.782084,0 31.007096,-29.782882,0 31.007339,-29.783494,0 31.0067,-29.784184,0 31.00414,-29.784847,0 31.003897,-29.784271,0 31.004004,-29.783776,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
8,null,null,EPS JHB Depot Bowser,#Style634653,"28.137129,-26.234156,0 28.136978,-26.233949,0 28.137545,-26.233357,0 28.137919,-26.233486,0",Comment1,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
9,null,null,EPS JHB Depot Bowser,#Style634653,"28.137129,-26.234156,0 28.136978,-26.233949,0 28.137545,-26.233357,0 28.137919,-26.233486,0",Comment2,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
10,null,null,EPS JHB Depot Bowser,#Style634653,"28.137129,-26.234156,0 28.136978,-26.233949,0 28.137545,-26.233357,0 28.137919,-26.233486,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
11,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",Comment1,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
12,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",Comment2,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
13,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
14,null,null,Soweto1 - HIGH RISK AREA,#Style634845,"27.808112,-26.21459,0 27.8088,-26.242923,0 27.821501,-26.29249,0 27.847939,-26.293106,0 27.86888,-26.301418,0 27.897034,-26.302033,0 27.919004,-26.300186,0 27.924155,-26.27987,0 27.934799,-26.276177,0 27.943038,-26.271867,0 27.958144,-26.25401,0 27.955742,-26.238305,0 27.955055,-26.227219,0 27.879867,-26.185943,0 27.818411,-26.182862,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
